Date;S;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;
01-Jun-2020;5.786568504151687E7;22118.94240477327;23160.29809807026;53964.720487884995;6042.017610972395;398.4632767048162;38565.28853460038;152785.1765083718;34621.39546866789;9191.80786792696;22118.94240477327;23160.29809807026;53964.720487884995;6042.017610972395;398.4632767048162;38565.28853460038;152785.1765083718;34621.39546866789;9191.80786792696;
01-Jun-2020;5.7865086468117826E7;22048.316180106856;23059.17656233604;53682.253529181464;6006.185377012873;396.4271791607967;38388.062162977345;153043.08450708477;34634.64364293232;9191.80786792696;22048.316180106856;23059.17656233604;53682.253529181464;6006.185377012873;396.4271791607967;38388.062162977345;153043.08450708477;34634.64364293232;9191.80786792696;
02-Jun-2020;5.786448950799127E7;21978.20909996963;22959.272959455517;53402.5717390041;5970.249502630659;394.4098738896127;38211.244304272375;153299.80593187895;34647.82426048316;9191.80786792696;21978.20909996963;22959.272959455517;53402.5717390041;5970.249502630659;394.4098738896127;38211.244304272375;153299.80593187895;34647.82426048316;9191.80786792696;
02-Jun-2020;5.7863891250355326E7;21911.487195931393;22860.591606630456;53126.21265796933;5933.899491231836;392.4113236365698;38034.5907243369;153555.3427024571;34660.9379471086;9191.80786792696;21911.487195931393;22860.591606630456;53126.21265796933;5933.899491231836;392.4113236365698;38034.5907243369;153555.3427024571;34660.9379471086;9191.80786792696;
02-Jun-2020;5.786328847373607E7;21851.2093690937;22763.252583991944;52853.69619983807;5896.814172902594;390.4315219646019;37857.87639878363;153809.695165809;34673.98532786862;9191.80786792696;21851.2093690937;22763.252583991944;52853.69619983807;5896.814172902594;390.4315219646019;37857.87639878363;153809.695165809;34673.98532786862;9191.80786792696;
02-Jun-2020;5.786268061292093E7;21797.740167856606;22667.409271462697;52584.98033492787;5858.979394334632;388.470531303792;37681.133643555026;154062.86302306503;34686.96702875643;9191.80786792696;21797.740167856606;22667.409271462697;52584.98033492787;5858.979394334632;388.470531303792;37681.133643555026;154062.86302306503;34686.96702875643;9191.80786792696;
02-Jun-2020;5.786206703283962E7;21751.502098263714;22573.221729301633;52320.02898266326;5820.381599593395;386.5284867676628;37504.393881749726;154314.84618897596;34699.88367905762;9191.80786792696;21751.502098263714;22573.221729301633;52320.02898266326;5820.381599593395;386.5284867676628;37504.393881749726;154314.84618897596;34699.88367905762;9191.80786792696;
02-Jun-2020;5.786144701561202E7;21712.986658636848;22480.858365824024;52058.81218380657;5781.007789393952;384.6055973470561;37327.68765245601;154565.6447859579;34712.735913792865;9191.80786792696;21712.986658636848;22480.858365824024;52058.81218380657;5781.007789393952;384.6055973470561;37327.68765245601;154565.6447859579;34712.735913792865;9191.80786792696;
03-Jun-2020;5.7860819744477004E7;21682.7681192757;22390.49791863973;51801.306329021136;5740.845478844804;382.70214793299925;37151.044620758505;154815.25913820037;34725.5243762142;9191.80786792696;21682.7681192757;22390.49791863973;51801.306329021136;5740.845478844804;382.70214793299925;37151.044620758505;154815.25913820037;34725.5243762142;9191.80786792696;
03-Jun-2020;5.7860188145583406E7;21657.695460576546;22302.29564951382;51546.618261170945;5700.469312261115;380.8184978457751;36974.78758025213;155063.69075115284;34738.24972031051;9191.80786792696;21657.695460576546;22302.29564951382;51546.618261170945;5700.469312261115;380.8184978457751;36974.78758025213;155063.69075115284;34738.24972031051;9191.80786792696;
03-Jun-2020;5.7859557349714756E7;21632.577528585647;22216.239715578326;51293.88859513336;5660.460851946989;378.95503172771384;36799.22010870297;155310.94322953897;34750.91261247006;9191.80786792696;21632.577528585647;22216.239715578326;51293.88859513336;5660.460851946989;378.95503172771384;36799.22010870297;155310.94322953897;34750.91261247006;9191.80786792696;
03-Jun-2020;5.785892753555741E7;21607.242375277256;22132.253123827497;51043.14703403029;5620.818296152067;377.11209347738196;36624.34236810309;155557.0211960617;34763.51373122348;9191.80786792696;21607.242375277256;22132.253123827497;51043.14703403029;5620.818296152067;377.11209347738196;36624.34236810309;155557.0211960617;34763.51373122348;9191.80786792696;
03-Jun-2020;5.785829868999479E7;21581.709404798155;22050.261850833213;50794.42038249866;5581.539775585817;375.28997965796236;36450.154480086334;155801.92927437447;34776.05376577574;9191.80786792696;21581.709404798155;22050.261850833213;50794.42038249866;5581.539775585817;375.28997965796236;36450.154480086334;155801.92927437447;34776.05376577574;9191.80786792696;
03-Jun-2020;5.785767079982974E7;21555.99752101647;21970.194871188185;50547.73269513888;5542.6233577755065;373.4889425122741;36276.656526152976;156045.6720888116;34788.533414478574;9191.80786792696;21555.99752101647;21970.194871188185;50547.73269513888;5542.6233577755065;373.4889425122741;36276.656526152976;156045.6720888116;34788.533414478574;9191.80786792696;
04-Jun-2020;5.785704385182074E7;21530.125107224452;21891.98404354633;50303.1054185551;5504.067051239503;371.70919281883187;36103.84854792302;156288.25426412;34800.95338340076;9191.80786792696;21530.125107224452;21891.98404354633;50303.1054185551;5504.067051239503;371.70919281883187;36103.84854792302;156288.25426412;34800.95338340076;9191.80786792696;
04-Jun-2020;5.785641872084079E7;21503.230791047597;21815.55516735312;50060.52865673012;5465.887906274988;369.9509015123995;35931.7404036432;156529.68045822583;34813.314384972946;9191.80786792696;21503.230791047597;21815.55516735312;50060.52865673012;5465.887906274988;369.9509015123995;35931.7404036432;156529.68045822583;34813.314384972946;9191.80786792696;
04-Jun-2020;5.785579627398189E7;21474.49543138557;21740.80259415968;49819.99033108847;5428.102393955212;368.21419091562296;35760.34204805772;156769.9553954582;34825.617136513414;9191.80786792696;21474.49543138557;21740.80259415968;49819.99033108847;5428.102393955212;368.21419091562296;35760.34204805772;156769.9553954582;34825.617136513414;9191.80786792696;
04-Jun-2020;5.785517648653474E7;21443.998318522004;21667.617693473763;49581.503921340736;5390.707546666765;366.49912710839806;35589.653594491894;157009.08383388925;34837.86235848048;9191.80786792696;21443.998318522004;21667.617693473763;49581.503921340736;5390.707546666765;366.49912710839806;35589.653594491894;157009.08383388925;34837.86235848048;9191.80786792696;
04-Jun-2020;5.785455933410371E7;21411.816067048203;21595.89771897167;49345.079357972485;5353.700315504824;364.80572359179064;35419.675098936335;157247.0705321585;34850.05077265882;9191.80786792696;21411.816067048203;21595.89771897167;49345.079357972485;5353.700315504824;364.80572359179064;35419.675098936335;157247.0705321585;34850.05077265882;9191.80786792696;
04-Jun-2020;5.7853944792607255E7;21378.022695378146;21525.545537043537;49110.72326738407;5317.07757724333;363.1339457539416;35250.40656055028;157483.92024909038;34862.18310048125;9191.80786792696;21378.022695378146;21525.545537043537;49110.72326738407;5317.07757724333;363.1339457539416;35250.40656055028;157483.92024909038;34862.18310048125;9191.80786792696;
05-Jun-2020;5.78533328382778E7;21342.68970330745;21456.469366578414;48878.43920418313;5280.836140962639;361.483715062746;35081.847922200504;157719.63774331493;34874.26006149486;9191.80786792696;21342.68970330745;21456.469366578414;48878.43920418313;5280.836140962639;361.483715062746;35081.847922200504;157719.63774331493;34874.26006149486;9191.80786792696;
05-Jun-2020;5.7852723589109614E7;21305.746117886567;21388.581122882515;48648.312332458714;5244.917030226359;359.85491282689605;34913.969864931496;157954.22767500876;34886.282371959685;9191.80786792696;21305.746117886567;21388.581122882515;48648.312332458714;5244.917030226359;359.85491282689605;34913.969864931496;157954.22767500876;34886.282371959685;9191.80786792696;
05-Jun-2020;5.7852117162543245E7;21267.12503946861;21321.792147631608;48420.4222681172;5209.262472267413;358.2473820758435;34746.74272270789;158187.69450666112;34898.2507435414;9191.80786792696;21267.12503946861;21321.792147631608;48420.4222681172;5209.262472267413;358.2473820758435;34746.74272270789;158187.69450666112;34898.2507435414;9191.80786792696;
05-Jun-2020;5.785151353449254E7;21226.900262659517;21256.017519533016;48194.76016072019;5173.870963127522;356.6609294098471;34580.165845095034;158420.0425991561;34910.16588206616;9191.80786792696;21226.900262659517;21256.017519533016;48194.76016072019;5173.870963127522;356.6609294098471;34580.165845095034;158420.0425991561;34910.16588206616;9191.80786792696;
05-Jun-2020;5.7850912681238584E7;21185.143017656672;21191.17726206071;47971.31477215931;5138.740909934979;355.0953284436481;34414.23854141592;158651.276308883;34922.02848636372;9191.80786792696;21185.143017656672;21191.17726206071;47971.31477215931;5138.740909934979;355.0953284436481;34414.23854141592;158651.276308883;34922.02848636372;9191.80786792696;
05-Jun-2020;5.785031457942728E7;21141.922049238223;21127.196106106756;47750.07266902731;5103.870638676672;353.5503231900048;34248.9600817925;158881.39998747027;34933.839247224285;9191.80786792696;21141.922049238223;21127.196106106756;47750.07266902731;5103.870638676672;353.5503231900048;34248.9600817925;158881.39998747027;34933.839247224285;9191.80786792696;
06-Jun-2020;5.7849719206066445E7;21097.30369374929;21064.003262738013;47531.01840434955;5069.258401531177;352.0256312214857;34084.32969816603;159110.41798152594;34945.598846464476;9191.80786792696;21097.30369374929;21064.003262738013;47531.01840434955;5069.258401531177;352.0256312214857;34084.32969816603;159110.41798152594;34945.598846464476;9191.80786792696;
